,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,match
315,Lovro Majer,hr Croatia,0.05,,Blocked,12,Head,,Andrej Kramarić,Pass (Live),Marcelo Brozović,Pass (Live),Croatia-Albania-June-19-2024-European-Championship
316,Jasir Asani,al Albania,0.01,,Blocked,30,Left Foot,,Qazim Laçi,Pass (Live),,,Croatia-Albania-June-19-2024-European-Championship
317,Rey Manaj,al Albania,0.11,0.48,Saved,11,Head,,Elseid Hysaj,Pass (Live),Jasir Asani,Shot,Croatia-Albania-June-19-2024-European-Championship
318,,,,,,,,,,,,,Croatia-Albania-June-19-2024-European-Championship
319,Bruno Petković,hr Croatia,0.06,,Blocked,10,Head,,Josip Juranović,Pass (Live),Luka Sučić,Pass (Live),Croatia-Albania-June-19-2024-European-Championship
320,Luka Sučić,hr Croatia,0.04,0.11,Saved,15,Left Foot,,Bruno Petković,Pass (Live),Luka Modrić,Pass (Live),Croatia-Albania-June-19-2024-European-Championship
321,Mario Pašalić,hr Croatia,0.14,,Off Target,5,Head,,Ivan Perišić,Pass (Live),Luka Sučić,Pass (Live),Croatia-Albania-June-19-2024-European-Championship
322,Mateo Kovačić,hr Croatia,0.04,0.07,Saved,26,Right Foot,Deflected,Andrej Kramarić,Pass (Live),Luka Sučić,Pass (Live),Croatia-Albania-June-19-2024-European-Championship
323,Mario Pašalić,hr Croatia,0.05,,Off Target,9,Head,,Ivan Perišić,Pass (Live),Andrej Kramarić,Pass (Live),Croatia-Albania-June-19-2024-European-Championship
324,Bruno Petković,hr Croatia,0.10,,Blocked,9,Head,,Josip Juranović,Pass (Live),Luka Modrić,Pass (Live),Croatia-Albania-June-19-2024-European-Championship
325,Josip Šutalo,hr Croatia,0.61,,Off Target,1,Head,,Luka Modrić,Pass (Dead),Bruno Petković,Shot,Croatia-Albania-June-19-2024-European-Championship
326,Luka Modrić,hr Croatia,0.01,,Blocked,26,Right Foot,,Luka Modrić,Pass (Live),Joško Gvardiol,Pass (Live),Croatia-Albania-June-19-2024-European-Championship
327,Ivan Perišić,hr Croatia,0.04,0.41,Saved,27,Left Foot,Deflected,Mateo Kovačić,Pass (Live),Luka Modrić,Pass (Live),Croatia-Albania-June-19-2024-European-Championship
328,Kristjan Asllani,al Albania,0.03,0.04,Saved,24,Right Foot,,Qazim Laçi,Pass (Live),Nedim Bajrami,Pass (Live),Croatia-Albania-June-19-2024-European-Championship
329,Nedim Bajrami,al Albania,0.05,,Off Target,18,Right Foot,,Kristjan Asllani,Pass (Live),Kristjan Asllani,Interception,Croatia-Albania-June-19-2024-European-Championship
330,Mario Pašalić,hr Croatia,0.18,,Off Target,7,Head,,Ivan Perišić,Pass (Live),Andrej Kramarić,Pass (Live),Croatia-Albania-June-19-2024-European-Championship
331,Taulant Seferi,al Albania,0.02,0.08,Saved,30,Right Foot,,Taulant Seferi,Tackle,,,Croatia-Albania-June-19-2024-European-Championship
332,Andrej Kramarić,hr Croatia,0.22,0.71,Goal,12,Right Foot,,Ante Budimir,Pass (Live),Mateo Kovačić,Pass (Live),Croatia-Albania-June-19-2024-European-Championship
333,Ante Budimir,hr Croatia,0.15,0.68,Saved,5,Left Foot,,,,,,Croatia-Albania-June-19-2024-European-Championship
334,Luka Sučić,hr Croatia,0.52,,Blocked,10,Left Foot,,Ante Budimir,Pass (Live),Ante Budimir,Take-On,Croatia-Albania-June-19-2024-European-Championship
335,Ante Budimir,hr Croatia,0.07,0.34,Saved,14,Left Foot,Deflected,Luka Modrić,Pass (Live),Luka Sučić,Pass (Live),Croatia-Albania-June-19-2024-European-Championship
336,Luka Modrić,hr Croatia,0.05,,Off Target,27,Right Foot,,Mateo Kovačić,Pass (Live),Luka Sučić,Take-On,Croatia-Albania-June-19-2024-European-Championship
337,Martin Baturina,hr Croatia,0.07,0.50,Saved,13,Right Foot,,Martin Baturina,Take-On,Martin Baturina,Take-On,Croatia-Albania-June-19-2024-European-Championship
338,Arbër Hoxha,al Albania,0.05,0.11,Saved,25,Right Foot,,Mirlind Daku,Pass (Live),Berat Djimsiti,Pass (Live),Croatia-Albania-June-19-2024-European-Championship
339,Mirlind Daku,al Albania,0.11,,Blocked,11,Right Foot,,Taulant Seferi,Pass (Live),Arbër Hoxha,Pass (Live),Croatia-Albania-June-19-2024-European-Championship
340,Klaus Gjasula,al Albania,0.22,0.65,Goal,13,Left Foot,Deflected,Arbër Hoxha,Pass (Live),Kristjan Asllani,Pass (Live),Croatia-Albania-June-19-2024-European-Championship
341,Klaus Gjasula,al Albania,0.08,,Blocked,23,Right Foot,,Mirlind Daku,Pass (Live),Klaus Gjasula,Pass (Live),Croatia-Albania-June-19-2024-European-Championship
342,Mateo Kovačić,hr Croatia,0.09,0.06,Saved,16,Left Foot,,Luka Sučić,Pass (Live),Luka Sučić,Take-On,Croatia-Albania-June-19-2024-European-Championship
343,Roland Sallai,hu Hungary,0.13,0.44,Saved,8,Right Foot,,Roland Sallai,Interception,,,Germany-Hungary-June-19-2024-European-Championship
344,Kai Havertz,de Germany,0.04,0.09,Saved,21,Left Foot,,Joshua Kimmich,Pass (Live),Antonio Rüdiger,Pass (Live),Germany-Hungary-June-19-2024-European-Championship
345,Bendegúz Bolla,hu Hungary,0.03,,Blocked,16,Right Foot,,Roland Sallai,Pass (Live),,,Germany-Hungary-June-19-2024-European-Championship
346,Kai Havertz,de Germany,0.18,0.74,Saved,4,Left Foot,Volley,Antonio Rüdiger,Pass (Live),Toni Kroos,Pass (Live),Germany-Hungary-June-19-2024-European-Championship
347,Robert Andrich,de Germany,0.04,,Blocked,13,Right Foot,Volley,Toni Kroos,Pass (Dead),Kai Havertz,Shot,Germany-Hungary-June-19-2024-European-Championship
348,Roland Sallai,hu Hungary,0.15,,Blocked,20,Right Foot,,Bendegúz Bolla,Pass (Live),Dominik Szoboszlai,Pass (Live),Germany-Hungary-June-19-2024-European-Championship
349,Jamal Musiala,de Germany,0.16,0.88,Goal,9,Right Foot,Deflected,İlkay Gündoğan,Pass (Live),,,Germany-Hungary-June-19-2024-European-Championship
350,Dominik Szoboszlai,hu Hungary,0.04,0.22,Saved,26,Right Foot,Free kick,Milos Kerkez,Fouled,Márton Dárdai,Pass (Live),Germany-Hungary-June-19-2024-European-Championship
